group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Marriage data	259	Donnell MacTiernan							
Marriage data	260	Sabia O'Conor							
Marriage data	261	Cathal mac Domhnall O'Conor							
Marriage data	262	Flaherty O'Rourke							
Marriage data	263	Mor O'Farrell							
Marriage data	264	Unknown O'Farrell-3							
Marriage data	265	Diarmait MacRannell							
Marriage data	266	Dubchablach MacRannell							
Marriage data	267	Unknown MacRannell-1							
Marriage data	268	Unknown O'Mulvey-1							
Marriage data	269	Bebinn O'Dunne							
Marriage data	270	Donnell O'Dunne							
Marriage data	271	Unknown O'Dempsey-1							
Marriage data	272	Finnghuala O'Kelly							
Marriage data	273	Unknown O'Kelly-3							
Marriage data	274	Unknown Mac William Burke-1							
Marriage data	275	Aine MacNamara							
Marriage data	276	Unknown MacNamara-4							
Marriage data	278	Finola O'Kane							
Marriage data	279	Cooey O'Kane							
Marriage data	280	Turlough MacSweeny							
Marriage data	281	Sabia Burke							
Marriage data	282	Ulick Burke							
Marriage data	283	Unknown O'Conor-2							
Marriage data	284	Duvcovla O'Conor Faly							
Marriage data	285	Muirchertach O'Conor Faly							
Marriage data	286	Donnell mac Theobald O'Molloy							
Marriage data	287	Lasarina O'Duigennan							
Marriage data	288	Farrell O'Duigennan							
Marriage data	289	Unknown O'Meehin-1							
Marriage data	290	Dubchablach MacDermot							
Marriage data	291	Aedh MacDermot							
Marriage data	292	Cathal Roe MacRannell							
Marriage data	293	Lasairfina O'Conor							
Marriage data	295	Unknown MacRannell Dubh-1							
Marriage data	296	Raghnailt MacBrady							
Marriage data	297	Unknown MacBrady-1							
Marriage data	298	Unknown MacDarcy-1							
Marriage data	299	Aine MacBrady							
Marriage data	300	Matthew mac Conor O'Owen							
Marriage data	301	More O'Madden							
Marriage data	302	Murrough O'Madden							
Marriage data	303	Richard Mac William Burke							
Marriage data	304	Joanna Cam Butler							
Marriage data	305	James Butler							
Marriage data	306	Tadhg O'Carroll-1							
Marriage data	307	d. O'Brien							
Marriage data	308	Unknown O'Brien-1							
Marriage data	309	Unknown O'Kennedy-1							
Marriage data	310	Honora Burke							
Marriage data	311	William Burke							
Marriage data	312	Unknown O'Meagher-1							
Marriage data	313	Lucy O'Tully							
Marriage data	314	Unknown O'Tully-1							
Marriage data	315	Maurice MacCraith							
Marriage data	316	Dervorgilla O'Conor							
Marriage data	317	Unknown O'Conor Roe-1							
Marriage data	318	Beanmidhe MacMahon							
Marriage data	319	Unknown MacMahon-1							
Marriage data	320	Unknown O'Neill-1							
Marriage data	321	Aine MacDonough							
Marriage data	322	Unknown MacDonough-2							
Marriage data	324	d. Mac William Burke							
Marriage data	325	Unknown Mac William Burke-2							
Marriage data	326	Unknown O'Farrell-4							
Marriage data	327	Nualaith O'Farrell							
Marriage data	329	Thomas mac Cathal O'Farrell							
Marriage data	330	Sadhb O'Neill							
Marriage data	331	Unknown Bisset-1							
Marriage data	332	Affric O'Neill							
Marriage data	333	Henry Aimreidh O'Neill							
Marriage data	334	d. Butler							
Marriage data	335	Gerald Fitzgerald							
Marriage data	336	Etain O'Flanagan							
Marriage data	337	Jeffrey O'Flanagan							
Marriage data	338	William MacBrannan							
Marriage data	339	Edain O'Conor							
