group,numid,id,url
Marriage data,514,Unknown Mac Wattin Barrett-1,https://www.submissionstrategies.com
Marriage data,513,Maolruanaidh O'Dowda-2,https://www.submissionstrategies.com
Marriage data,514,Eudoin O'Conor,https://www.submissionstrategies.com
Marriage data,515,Tadhg Riabhach O'Dowda,https://www.submissionstrategies.com
Marriage data,516,Margaret Burke-2,https://www.submissionstrategies.com
Marriage data,517,William mac Redmond Burke,https://www.submissionstrategies.com
Marriage data,518,Teamhair O'Muirgheasa,https://www.submissionstrategies.com
Marriage data,519,Unknown O'Muirgheasa-1,https://www.submissionstrategies.com
Marriage data,520,Fionnghuala O'Conor,https://www.submissionstrategies.com
Marriage data,521,Manus mac Cathal O'Conor,https://www.submissionstrategies.com
Marriage data,522,d. O'Cathain,https://www.submissionstrategies.com
Marriage data,523,Unknown O'Cathain-1,https://www.submissionstrategies.com
Marriage data,524,Maebh O'Malley,https://www.submissionstrategies.com
Marriage data,525,Aodh O'Dowda,https://www.submissionstrategies.com
Marriage data,526,d. Robin Lawless,https://www.submissionstrategies.com
Marriage data,527,Robin Lawless,https://www.submissionstrategies.com
Marriage data,528,Brian O'Dowda,https://www.submissionstrategies.com
Marriage data,529,Barrdubh O'Conor,https://www.submissionstrategies.com
Marriage data,530,Domhnall O'Conor,https://www.submissionstrategies.com
Marriage data,531,Honora Barrett,https://www.submissionstrategies.com
Marriage data,532,Unknown Mac Wattin Barrett-2,https://www.submissionstrategies.com
